localidad,sex,age,violence,cruelty,gender,gender_2
USAQUEN,F,17,6.4,4.86,C,F
USAQUEN,M,1,1.84,1.74,C,H
MARTIRES,F,17,6.69,4.13,C,F
USAQUEN,F,27,5.16,5.46,C,F
USAQUEN,M,12,2.44,0.91,C,H
MARTIRES,M,6,4.64,1.52,C,H
MARTIRES,M,37,5.27,2.15,C,H
SUBA,M,14,4.25,2.62,C,H
KENNEDY,F,51,4.25,3.63,C,F
SUBA,F,12,4.06,5.53,C,F
SUBA,F,27,2.28,5.9,C,F
MARTIRES,F,4,4.85,6.08,C,F
MARTIRES,F,6,2.3,4.55,C,F
MARTIRES,F,8,2.35,6.24,C,F
SUBA,F,18,7.22,4.68,C,F
MARTIRES,F,15,6.8,5.67,C,F
KENNEDY,M,4,5.28,1.52,C,H
MARTIRES,F,4,3.19,4.09,C,F
SUBA,F,10,3.44,2.47,C,F
SUBA,F,10,5.49,1.67,C,F
MARTIRES,F,42,2.98,3.55,C,F
MARTIRES,F,20,7.31,4.31,C,F
SUBA,F,24,7.4,3.94,C,F
KENNEDY,M,9,4.83,2.44,C,H
USAQUEN,M,34,3.9,4.22,C,H
MARTIRES,F,29,4.95,5.37,C,F
KENNEDY,M,22,7.72,5.21,C,H
SUBA,M,11,3.94,3.37,C,H
USAQUEN,F,9,3.17,4.97,C,F
KENNEDY,F,19,6.39,5.87,C,F
MARTIRES,M,26,6.49,2.77,C,H
MARTIRES,F,7,2.45,4.36,C,F
SUBA,M,16,5.21,2.72,C,H
MARTIRES,M,8,3.48,1.85,C,H
SUBA,F,13,3.62,4.39,C,F
MARTIRES,M,29,7.51,4.28,C,H
USAQUEN,M,30,3.48,1.44,C,H
KENNEDY,M,29,5.94,4.43,C,H
SUBA,F,12,3.1,4.04,C,F
SUBA,F,25,7.78,3.48,C,F
KENNEDY,M,20,7.91,3.1,C,H
SUBA,F,43,2.98,4.77,C,F
KENNEDY,F,23,6.4,6.25,C,F
KENNEDY,M,4,4.62,3.1,C,H
USAQUEN,M,25,5.56,3.64,C,H
SUBA,F,49,2.98,3.08,C,F
SUBA,M,18,7.65,3.25,C,H
SUBA,F,19,5.99,2.36,C,F
USAQUEN,X,50,2.06,4.59,T,F
SUBA,F,17,5.18,6.69,C,F
MARTIRES,F,3,3.87,2.47,C,F
SUBA,M,36,5.29,3.16,C,H
SUBA,M,14,4.43,2.07,C,H
KENNEDY,F,8,5.61,4.26,C,F
MARTIRES,F,4,3.87,4.89,C,F
SUBA,F,23,6.06,4.99,C,F
KENNEDY,F,25,6.67,3.99,C,F
USAQUEN,M,33,3.58,2.52,C,H
SUBA,F,31,2.57,3.21,C,F
USAQUEN,F,24,5.68,3.99,C,F
KENNEDY,M,24,6.72,3.14,C,H
MARTIRES,X,45,2.55,5.39,T,F
KENNEDY,M,27,7.57,3.26,C,H
SUBA,M,15,5.4,3.59,C,H
MARTIRES,F,21,7.6,6.05,C,F
MARTIRES,F,37,5.23,5.14,C,F
USAQUEN,F,18,4.6,4.28,C,F
USAQUEN,M,22,4.96,3.54,C,H
MARTIRES,F,9,3.36,4.8,C,F
USAQUEN,F,11,3.59,4.78,C,F
USAQUEN,M,15,4.17,3.59,C,H
MARTIRES,F,1,2.86,2.85,C,F
USAQUEN,X,15,4.33,7.42,T,F
USAQUEN,F,30,4.33,3.49,C,F
KENNEDY,F,40,4.51,3.67,C,F
SUBA,M,30,5.12,1.63,C,H
SUBA,F,6,2.8,4.68,C,F
SUBA,X,41,2.37,6.68,T,F
SUBA,F,15,4.75,4.74,C,F
SUBA,X,37,4.41,5.51,T,F
USAQUEN,M,30,2.7,0.39,C,H
KENNEDY,M,40,3.76,1.51,C,H
KENNEDY,F,14,5.59,4.28,C,F
USAQUEN,F,35,2.27,5.07,C,F
MARTIRES,M,33,5.64,1.41,C,H
SUBA,F,23,4.8,4.28,C,F
SUBA,F,39,5.49,4.29,C,F
MARTIRES,F,25,6.83,6.85,C,F
MARTIRES,M,28,5.22,0.92,C,H
SUBA,F,14,3.54,3.12,C,F
KENNEDY,M,8,3.25,1.72,C,H
USAQUEN,M,15,3.71,2.83,C,H
SUBA,F,22,4.28,5.98,C,F
MARTIRES,F,22,6.51,4.17,C,F
MARTIRES,X,45,3.7,6.63,T,F
MARTIRES,F,48,4.0,2.67,C,F
SUBA,F,1,0.7,2.33,C,F
KENNEDY,F,11,5.2,5.74,C,F
SUBA,F,10,7.29,4.03,C,F
SUBA,M,45,2.05,2.49,C,H
SUBA,F,28,5.36,5.66,C,F
MARTIRES,M,40,3.28,2.38,C,H
SUBA,F,21,7.8,4.03,C,F
MARTIRES,F,24,6.32,5.41,C,F
MARTIRES,F,5,3.81,2.61,C,F
SUBA,M,29,4.93,2.88,C,H
USAQUEN,F,12,2.11,4.71,C,F
MARTIRES,M,6,5.49,0.84,C,H
USAQUEN,M,27,3.11,2.83,C,H
SUBA,M,6,2.11,2.81,C,H
SUBA,M,23,7.24,4.03,C,H
SUBA,F,25,3.31,5.38,C,F
SUBA,F,32,5.47,5.29,C,F
SUBA,M,32,5.28,2.07,C,H
SUBA,F,10,3.43,4.43,C,F
USAQUEN,F,3,3.42,3.41,C,F
SUBA,M,5,4.23,3.42,C,H
SUBA,M,19,6.7,3.12,C,H
KENNEDY,M,10,5.2,2.7,C,H
MARTIRES,M,14,6.24,1.5,C,H
USAQUEN,F,27,5.0,4.14,C,F
SUBA,M,9,4.71,1.1,C,H
SUBA,F,16,6.15,7.41,C,F
MARTIRES,M,30,5.72,3.5,C,H
USAQUEN,F,33,3.72,3.97,C,F
MARTIRES,M,11,4.79,1.03,C,H
MARTIRES,F,14,6.71,4.86,C,F
KENNEDY,F,3,4.74,2.93,C,F
MARTIRES,F,25,5.81,3.52,C,F
SUBA,F,5,2.03,4.99,C,F
MARTIRES,M,2,2.53,0.74,C,H
KENNEDY,F,22,8.34,5.83,C,F
KENNEDY,M,21,8.46,3.36,C,H
MARTIRES,F,28,6.86,4.61,C,F
MARTIRES,M,5,1.69,2.78,C,H
KENNEDY,F,30,7.72,3.09,C,F
MARTIRES,X,40,5.37,6.39,T,F
MARTIRES,F,4,5.99,2.98,C,F
USAQUEN,F,37,4.44,4.95,C,F
USAQUEN,M,27,2.57,2.23,C,H
SUBA,M,12,4.93,0.86,C,H
SUBA,F,29,4.89,3.08,C,F
KENNEDY,M,33,8.31,2.05,C,H
MARTIRES,M,2,6.34,1.5,C,H
KENNEDY,F,57,4.66,3.96,C,F
SUBA,F,35,3.77,3.41,C,F
KENNEDY,M,21,8.82,3.51,C,H
SUBA,X,19,5.45,7.05,T,F
MARTIRES,F,30,5.35,3.52,C,F
MARTIRES,F,7,4.25,2.69,C,F
KENNEDY,F,13,5.01,3.81,C,F
KENNEDY,M,43,5.97,1.22,C,H
KENNEDY,F,39,6.11,4.32,C,F
USAQUEN,F,33,5.72,6.27,C,F
KENNEDY,M,5,2.48,1.75,C,H
USAQUEN,F,14,3.01,6.53,C,F
SUBA,F,3,2.91,4.31,C,F
MARTIRES,F,28,7.52,6.19,C,F
USAQUEN,M,4,2.18,3.48,C,H
SUBA,F,1,4.17,3.86,C,F
KENNEDY,F,16,8.95,5.49,C,F
USAQUEN,M,4,2.01,3.44,C,H
USAQUEN,F,9,2.31,3.56,C,F
KENNEDY,F,32,5.99,3.25,C,F
SUBA,F,40,2.53,4.0,C,F
USAQUEN,F,19,3.53,5.48,C,F
SUBA,M,30,4.81,2.41,C,H
USAQUEN,F,4,2.49,3.05,C,F
USAQUEN,M,20,4.1,3.72,C,H
USAQUEN,F,18,6.32,3.87,C,F
MARTIRES,M,25,5.83,5.12,C,H
SUBA,F,31,3.64,4.64,C,F
